"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3434651,"March 22, 2026",Oklahoma,"Oklahoma City","2424 NW 39th St",1,0,0,0,1,N/A
3438829,"March 22, 2026","South Dakota",Owanka,N/A,1,0,0,0,0,N/A
3414875,"February 17, 2026",Tennessee,Clairfield,"6000 block of TN-90",1,0,0,0,0,N/A
3408730,"February 7, 2026",Indiana,Mishawaka,"300 block of S Taylor St",1,0,0,0,1,N/A
3369783,"December 5, 2025",Ohio,Columbus,"200 block of S Wheatland Ave",1,0,0,0,1,N/A
3357392,"November 14, 2025","West Virginia",Martinsburg,"Needmore Rd",1,0,0,0,0,N/A
3399227,"October 4, 2025","North Carolina",Troy,"220 W Spring St",1,0,0,0,1,N/A
3319731,"September 29, 2025",Tennessee,Burns,N/A,1,0,0,0,0,N/A
3307559,"September 13, 2025","South Carolina",Johnsonville,"904 S Midway Hwy",1,0,0,0,1,N/A
3284794,"August 8, 2025",Tennessee,Nashville,"765 McMurray Dr",1,0,0,0,0,N/A
3272087,"July 25, 2025",Texas,"San Antonio","3500 block of Bob Billa St",1,0,0,0,1,N/A
3211963,"May 16, 2025",Wisconsin,Racine,"2613 Prospect St",1,0,0,0,1,N/A
3183942,"April 13, 2025",Georgia,Atlanta,"100 Bell St SE",1,0,0,0,1,N/A
3122469,"January 23, 2025","North Carolina",Kannapolis,"450 Cabarrus Arms Dr",1,0,0,0,0,N/A
3120159,"January 20, 2025",Wisconsin,Geneva,"W3895 Lincoln Dr",1,0,0,0,1,N/A
3106711,"January 1, 2025",Florida,Miami,"NW 21st Terrace and NW 27th Ave",1,0,0,0,0,N/A
3100590,"December 22, 2024",Georgia,Columbus,"1300 block of Floyd Rd",1,0,0,0,1,N/A
3090482,"December 9, 2024",Pennsylvania,"Wilkes Barre","555 Fellows Ave",1,0,0,0,1,N/A
3084735,"November 30, 2024",Louisiana,"New Orleans","2215 Willow St",1,0,0,0,1,N/A
3075451,"November 18, 2024","South Carolina",Windsor,"300 block of Wendy Ln",1,0,0,0,0,N/A
3074698,"November 16, 2024","North Carolina",Greenville,"2060 Quail Ridge Dr",1,0,0,0,1,N/A
3060937,"October 30, 2024",Florida,Clewiston,"702 S Lopez St",1,0,0,0,0,N/A
3043165,"October 6, 2024",Oklahoma,"Sand Springs","4813 S Grenada Ave",1,0,0,0,1,N/A
3021976,"September 11, 2024",Iowa,Oskaloosa,"2600 block of 250th St",1,0,0,0,0,N/A
2989967,"August 7, 2024",Texas,Houston,"6869 Arto St",2,0,0,0,0,N/A
2984060,"July 30, 2024",Indiana,Indianapolis,"W 46th St",1,0,0,0,0,N/A
2956175,"July 1, 2024",Maryland,Columbia,"Harpers Farm Rd",1,0,0,0,0,N/A
2945800,"June 21, 2024",Ohio,Canton,"3950 Convenience Dr",1,0,0,0,1,N/A
2926936,"May 31, 2024",Wisconsin,Milwaukee,"2100 block of W Orchard St",1,0,0,0,1,N/A
2894067,"April 29, 2024",Tennessee,Clarksville,"1123 Hazel Dr",1,0,0,0,0,N/A
2891674,"April 26, 2024",Florida,"Saint Petersburg","1421 43rd St S",1,0,0,0,1,N/A
2883625,"April 17, 2024","South Carolina",Scranton,"1100 block of Clover Hill Rd",1,0,0,0,0,N/A
2844790,"March 3, 2024","South Carolina",Beaufort,"325 Ambrose Run",1,0,0,0,1,N/A
2837301,"February 23, 2024","North Carolina",Lowgap,"Old Lowgap Rd",1,0,0,0,0,N/A
2813408,"January 27, 2024",Indiana,"Fort Wayne","2900 block of Shawnee Dr",1,0,0,0,0,N/A
2808632,"January 20, 2024","South Carolina",Dillon,"Ruby Ct",1,0,0,0,0,N/A
2804368,"January 14, 2024",Tennessee,Dayton,"Upper Fine Ln",1,0,0,0,1,N/A
2800814,"January 13, 2024",Kentucky,Louisville,"800 block of S 37th St",1,0,0,0,0,N/A
2791280,"December 31, 2023",Tennessee,Memphis,"5800 block of Edgewater Cove",1,0,0,0,0,N/A
2780874,"December 17, 2023",Maryland,Baltimore,"6001 Park Heights Ave",1,0,0,0,1,N/A
2770496,"December 2, 2023",Mississippi,Ovett,"Alex Knight Rd",1,0,0,0,0,N/A
2763882,"November 24, 2023","South Carolina",Cameron,"1121 Whisperwood Rd",1,0,0,0,0,N/A
2755848,"November 14, 2023",Florida,"Fort Lauderdale (Lauderhill)","5436 NW 19th St",1,0,0,0,0,N/A
2744317,"October 28, 2023",Louisiana,Carencro,"237 Prejean Rd",1,0,0,0,0,N/A
2704428,"September 9, 2023","West Virginia","Gallipolis Ferry","Salt Creek Rd",1,0,0,0,0,N/A
2698647,"September 3, 2023",Florida,"Palm Coast","2 Ranwood Ln",1,0,0,0,1,N/A
2693375,"August 27, 2023",Tennessee,Rockwood,"100 block of Airport Rd",1,0,0,0,1,N/A
2692299,"August 8, 2023",Mississippi,Belzoni,N/A,1,0,0,0,1,N/A
2674125,"August 7, 2023",Missouri,"Saint Louis (Berkeley)","6698 Amora Ave",1,0,0,0,0,N/A
2675455,"August 7, 2023",Illinois,Belleville,"50 block of S 88th St",1,0,0,0,0,N/A
2668991,"July 31, 2023",Arkansas,Lutherville,N/A,1,1,0,0,0,N/A
2667635,"July 30, 2023",Tennessee,Nashville,"3400 block of Meadowlake Terrace",1,0,0,0,0,N/A
2664700,"July 27, 2023",Pennsylvania,Philadelphia,"1626 N 29th St",1,0,0,0,0,N/A
2646965,"July 7, 2023",Texas,Houston,"2205 Hayes Rd",1,0,0,0,0,N/A
2649946,"July 6, 2023",Georgia,Atlanta,N/A,1,0,0,0,1,N/A
2641997,"July 2, 2023",Texas,Dallas,"8000 block of Rothington Rd",1,0,0,0,0,N/A
2635956,"June 26, 2023","South Carolina",Columbia,"1200 block of Rabon Pond Dr",1,0,0,0,0,N/A
2627649,"June 17, 2023",Virginia,Petersburg,"200 block of Juniper Rd",1,0,0,0,0,N/A
2669900,"May 29, 2023",Arkansas,"Hot Springs National Park (Hot Springs)","200 Springwood Rd",1,0,0,0,1,N/A
2608769,"May 25, 2023",Illinois,Matteson,"800 block of Campus Ave",1,1,0,0,1,N/A
2579517,"April 22, 2023",Texas,"Wichita Falls","2800 block of Featherston Ave",1,0,0,0,1,N/A
2571903,"April 14, 2023","North Carolina",Charlotte,"2500 block of O'Hara Dr",1,0,0,0,1,N/A
2516747,"February 1, 2023",Tennessee,Memphis,"4670 Chancellor Cove",1,0,0,0,1,N/A
2493027,"January 1, 2023",Texas,"Corpus Christi","6602 Everhart Rd",1,0,0,0,2,N/A
2488004,"December 24, 2022",Missouri,"Kansas City","7800 block of James A Reed Rd",1,0,0,0,0,N/A
2470805,"November 24, 2022","West Virginia","Pocahontas (county)",N/A,1,0,0,0,0,N/A
2464247,"November 20, 2022",Wisconsin,Berlin,N/A,1,0,0,0,0,N/A
2457463,"November 10, 2022",Florida,Miami,"665 Ives Dairy Rd",1,0,0,0,0,N/A
2451722,"November 2, 2022","North Carolina",Charlotte,"1900 Charleston Pl",1,0,0,0,0,N/A
2446485,"October 26, 2022",Illinois,Chicago,"2600 block of W Potomac Ave",1,0,0,0,2,N/A
2444759,"October 24, 2022",Illinois,Chicago,"3600 block of S Rhodes Ave",1,0,0,0,1,N/A
2439761,"October 12, 2022",Kentucky,Redfox,"325 Hale Branch Rd",1,0,0,0,0,N/A
2440387,"October 9, 2022",Georgia,Decatur,"Glen Hollow Cir",1,0,0,0,1,N/A
2424304,"September 25, 2022",Virginia,Suffolk,"200 block of Pine St",1,0,0,0,1,N/A
2424013,"September 25, 2022",Ohio,"Saint Clairsville","139 N Market St",1,0,0,0,0,N/A
2401464,"August 28, 2022",Hawaii,Hawi,"55-3478 Akoni Pule Hwy",1,0,0,0,0,N/A
2384050,"August 10, 2022",Virginia,Portsmouth,"2800 block of Deep Creek Blvd",1,0,0,0,1,N/A
2384523,"August 9, 2022",Texas,Granbury,"100 block of Abbey Park Ct",1,0,0,0,1,N/A
2382461,"August 6, 2022",Mississippi,Macon,"East St",1,0,0,0,0,N/A
2366931,"July 22, 2022",Florida,"Saint Petersburg","5800 Lynn Lake Dr S",1,0,0,0,0,N/A
2348347,"July 3, 2022",Iowa,Coralville,"929 Boston Way",1,0,0,0,0,N/A
2342174,"June 27, 2022",Kentucky,Louisville,"4700 block of E Pages Ln",1,0,0,0,0,N/A
2340972,"June 26, 2022",Texas,Dallas,"3500 block of Munger Ave",1,0,0,0,0,N/A
2322582,"June 6, 2022",Ohio,Cleveland,"1148 E 77th St",1,0,0,0,1,N/A
2321188,"June 4, 2022",Michigan,Detroit,"20290 block of Goulburn Ave",1,0,0,0,2,N/A
2303670,"May 16, 2022","New York",Bronx,"995 Westchester Ave",1,0,0,0,1,N/A
2295738,"May 5, 2022",Texas,Dallas,"2500 block of Fatima Ave",1,0,0,0,1,N/A
2286385,"April 24, 2022","South Carolina",Scranton,"396 S Glendale School Rd",1,0,0,0,2,N/A
2280526,"April 15, 2022",Minnesota,Minneapolis,"341 Hennepin Ave",1,0,0,0,0,N/A
2278104,"April 13, 2022",Nevada,Henderson,"103 Sicily Hills Ct",1,0,0,0,1,N/A
2278012,"April 12, 2022",Louisiana,"Baton Rouge","5100 block of Fairfields Ave",1,0,0,0,3,N/A
2264686,"March 28, 2022",Texas,Dallas,"9500 block of Timberleaf Dr",1,0,0,0,1,N/A
2254521,"March 15, 2022",Texas,Lubbock,"3600 block of Lehigh St",1,0,0,0,1,N/A
2239050,"February 19, 2022",Ohio,Lima,"1300 block of W Wayne St",1,0,0,0,0,N/A
2234293,"February 14, 2022",Texas,Houston,"2900 Woodridge Dr",1,0,0,0,1,N/A
2226010,"February 3, 2022",Georgia,Griffin,"1110 W Poplar St",1,0,0,0,1,N/A
2212218,"January 15, 2022",Wisconsin,Milwaukee,"1803 W Highland Ave",1,0,0,0,1,N/A
2195175,"December 22, 2021",Louisiana,Jeanerette,"1400 block of Main St",1,0,0,0,0,N/A
2190929,"December 11, 2021",Georgia,"Jasper (county)",N/A,1,0,0,0,0,N/A
2175762,"November 25, 2021",Minnesota,"Minneapolis (Brooklyn Park)","8000 block of Florida Ave",1,0,0,0,1,N/A
2175125,"November 25, 2021",Pennsylvania,Bally,"8500 block of Chestnut St",1,0,0,0,0,N/A
2173281,"November 22, 2021",Pennsylvania,Pittsburgh,"100 block of Prescott Dr",1,0,0,0,1,N/A
2172398,"November 21, 2021",Kentucky,Shelbyville,"72 Zelkova Dr",1,0,0,0,0,N/A
2166371,"November 13, 2021",Georgia,Atlanta,"2060 Alison Court SW",1,0,0,0,1,N/A
2167270,"November 13, 2021",Georgia,Nashville,"300 block of JD Nichols Rd",1,1,0,0,0,N/A
2161546,"November 7, 2021","South Carolina",Greenville,"Staunton Bridge Rd",1,1,0,0,1,N/A
2152151,"October 26, 2021",Alabama,Greensboro,"Balsa Ave",1,0,0,0,0,N/A
2128369,"September 28, 2021",Wisconsin,"Madison (Fitchburg)","5100 block of Curry Ct",1,0,0,0,1,N/A
2118593,"September 17, 2021",Kansas,Lawrence,"1500 block of Wedgewood Dr",1,0,0,0,1,N/A
2107882,"September 3, 2021","North Carolina","Winston Salem (Winston-salem)","100 Block of Martindale Rd",1,0,0,0,1,N/A
2101870,"August 27, 2021",Tennessee,Memphis,"3513 Boxtown Rd",1,0,0,0,0,N/A
2101524,"August 27, 2021",Tennessee,Memphis,"1300 block of Timothy Dr",1,0,0,0,1,N/A
2101044,"August 26, 2021",Mississippi,Canton,"Franklin St and Canal St",2,1,0,0,0,N/A
2067698,"July 18, 2021",Tennessee,Westmoreland,"Fairfield Rd",1,0,0,0,0,N/A
2061324,"July 12, 2021",Tennessee,Memphis,"5587 Berryman Dr",1,0,0,0,0,N/A
2059286,"July 9, 2021",Utah,"Heber City","2790 N Commons Blvd",1,0,0,0,1,N/A
2057472,"July 8, 2021",Mississippi,Jackson,"Coronet Pl and Cummins St",1,0,0,0,0,N/A
2055926,"July 7, 2021",Tennessee,Goodlettsville,"100 block of Elizabeth Ct",1,0,0,0,0,N/A
2050257,"July 1, 2021",Ohio,Columbus,"462 S Eureka Ave",1,0,0,0,0,N/A
2044225,"June 24, 2021",Michigan,Kalamazoo,"1100 block of Lake St",1,0,0,0,0,N/A
2007416,"May 17, 2021",Minnesota,Minneapolis,"N 35th Ave and Penn Ave N",1,1,0,0,0,N/A
1997489,"May 7, 2021",Florida,Pensacola,"4101 W Navy Blvd",1,0,0,0,1,N/A
1988688,"April 27, 2021",Virginia,Richmond,"4000 Midlothian Turnpike",2,3,0,0,5,N/A
1987107,"April 25, 2021",Washington,"Federal Way","27900 block of Pacific Hwy S",1,0,0,0,1,N/A
1975927,"April 12, 2021",Tennessee,Nashville,"25th Ave N and Dowlan St",1,2,0,1,2,N/A
1973985,"April 10, 2021",Connecticut,Hartford,"182 Nelson St",1,0,0,0,2,N/A
1962820,"March 26, 2021",Ohio,Columbiana,"300 block of Quincy Ave",1,0,0,0,0,N/A
