"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3479508,"June 1, 2026",Iowa,Muscatine,"210 Park Ave",6,0,1,0,0,N/A
3477134,"May 27, 2026",Ohio,Columbus,"2929 Chatsworth Way",2,0,0,0,1,N/A
3476727,"May 27, 2026",California,"Los Angeles","16242 Londelius St",3,0,1,0,0,N/A
3476402,"May 27, 2026",Alabama,Selma,"1000 block of Old Montgomery Hwy",1,0,0,0,0,N/A
3475769,"May 26, 2026",Missouri,"Saint Louis","400 block of Midlothian Rd",1,0,0,0,0,N/A
3474746,"May 25, 2026",Arizona,Glendale,"6070 W Bell Rd",2,1,1,0,0,N/A
3475459,"May 25, 2026","North Carolina",Reidsville,US-29,1,0,0,0,0,N/A
3474683,"May 24, 2026",Illinois,Chicago,"900 block of E 104th St",1,0,0,0,0,N/A
3474164,"May 23, 2026",Florida,Sarasota,"4700 block of Mondrian Ct",2,0,0,0,1,N/A
3474222,"May 23, 2026",Texas,Ferris,"Tidwell Dr",1,0,0,0,0,N/A
3470765,"May 17, 2026",Arkansas,Jacksonville,"2000 block of Cloverdale Rd",1,0,0,0,2,N/A
3469024,"May 15, 2026",Ohio,Eastlake,"33400 Vine St",1,0,0,0,0,N/A
3467738,"May 12, 2026",Missouri,Florissant,"2100 block of Flordawn Dr",1,0,0,0,1,N/A
3466058,"May 10, 2026",Illinois,Princeton,"2765 East St",1,0,0,1,1,N/A
3465509,"May 9, 2026",Louisiana,Alexandria,"3000 block of Houston St",1,0,0,0,0,N/A
3464505,"May 8, 2026",Michigan,Flint,"2500 block of Altoona St",1,1,0,0,0,N/A
3461956,"May 4, 2026",Texas,Houston,"2113 Kingston St",3,0,1,0,0,N/A
3461550,"May 3, 2026",Texas,Lapryor,N/A,1,0,0,0,0,N/A
3461728,"May 3, 2026",Florida,"Plant City","911 N Burton St",4,0,0,0,0,N/A
3459355,"April 29, 2026",Michigan,Fennville,"1258 56th St",1,0,1,0,0,N/A
3458696,"April 29, 2026",Wisconsin,Milwaukee,"3400 block of W Walnut St",1,0,0,0,0,N/A
3455384,"April 23, 2026",Texas,Dallas,"1700 block of Hemphill Dr",1,0,0,0,1,N/A
3453891,"April 21, 2026",Georgia,Augusta,"1237 Gordon Hwy",1,0,0,0,0,N/A
3453798,"April 20, 2026",Mississippi,Hattiesburg,"212 Martin Luther King Ave",1,0,0,0,0,N/A
3452118,"April 19, 2026",Louisiana,Shreveport,"355 W 79th St",8,2,1,0,0,N/A
3449837,"April 15, 2026",Texas,Richardson,"500 block of E Buckingham Rd",2,0,1,0,0,N/A
3448407,"April 13, 2026",Nevada,Elko,"975 Terminal Way",1,0,1,0,0,N/A
3447075,"April 10, 2026",Wisconsin,Lamartine,"6281 Schraven Cir",1,0,0,0,0,N/A
3445277,"April 6, 2026",Virginia,Elliston,"100 block of Walthall St",1,0,0,0,0,N/A
3443270,"April 5, 2026",Georgia,Atlanta,"949 Washington St SW",1,0,0,0,1,N/A
3443929,"April 5, 2026",Florida,Bonifay,"Twin Lakes Dr",1,0,0,0,0,N/A
3441214,"April 1, 2026","New York",Brooklyn,"Humboldt St and Moore St",1,1,0,0,1,N/A
3441284,"March 31, 2026",Florida,Okeechobee,"800 block of SE 8th St",1,0,0,0,0,N/A
3439893,"March 30, 2026",Minnesota,"Detroit Lakes","25291 Co Rd 113",1,0,1,0,0,N/A
3438857,"March 28, 2026",Tennessee,Nashville,"3100 block of Qualynn Dr",1,0,0,0,0,N/A
3439951,"March 28, 2026",Kansas,Brookville,"KS-141 and Ave N",2,0,0,0,0,N/A
3438351,"March 27, 2026",Texas,"Haltom City","6125 E Belknap St",2,0,1,0,0,N/A
3438815,"March 27, 2026",Connecticut,Plainville,"36 Milford St",3,0,1,0,0,N/A
3437110,"March 25, 2026",Georgia,Ellenwood,"4194 Loveless Dr",1,0,0,0,0,N/A
3434651,"March 22, 2026",Oklahoma,"Oklahoma City","2424 NW 39th St",1,0,0,0,1,N/A
3438829,"March 22, 2026","South Dakota",Owanka,N/A,1,0,0,0,0,N/A
3435925,"March 22, 2026",Florida,Jacksonville,"1214 Labelle St",1,0,0,0,1,N/A
3435619,"March 21, 2026",Oklahoma,Poteau,"27762 Old Tarby Rd",2,0,0,0,1,N/A
3432852,"March 18, 2026",Minnesota,"Circle Pines (Lexington)","9300 block of Ryan Pl",2,0,0,0,1,N/A
