state,per_1000000
Tennessee,3.8209080939994333
Mississippi,3.7328893683577897
South Carolina,3.0210196885517515
Montana,2.6860660324566314
Louisiana,2.385102562662607
West Virginia,2.2492469240142534
Alabama,1.9658848211673898
Indiana,1.751550450564459
Arkansas,1.6396716590296225
Idaho,1.5509791331267428
Kentucky,1.5436100717469963
Missouri,1.453532034392506
Georgia,1.3710641660771852
Nevada,1.2560399822647155
Oklahoma,1.2411154748731208
North Carolina,1.2115107688396447
Ohio,1.1854066617991612
Wisconsin,1.1834575625643293
South Dakota,1.1020158073147401
Pennsylvania,1.075381228406441
