state,per_100000
Mississippi,1.9343153999672185
Louisiana,1.4961097893065445
Alabama,1.0222601070070427
South Carolina,0.9440686526724223
South Dakota,0.8816126458517921
Alaska,0.8155431653405029
Georgia,0.8134980718724633
Tennessee,0.8066361531776582
Oklahoma,0.7943139039187973
Arkansas,0.7870423963342188
New Mexico,0.7546294156432791
Missouri,0.7429163731339475
Indiana,0.7298126877351913
Montana,0.7162842753217683
Texas,0.6625056014848605
Kentucky,0.6615471736058555
North Dakota,0.6370717126144021
Kansas,0.6107498073593316
Ohio,0.584236140458158
North Carolina,0.5684781299939872
