state,city_or_county,deaths
Tennessee,Memphis,12
Illinois,Chicago,9
Kentucky,Louisville,5
Pennsylvania,Philadelphia,5
Texas,Dallas,5
Texas,Houston,5
Georgia,Atlanta,4
Pennsylvania,Pittsburgh,4
Virginia,Richmond,4
North Carolina,Charlotte,3
Ohio,Columbus,3
Tennessee,Nashville,3
Wisconsin,Milwaukee,3
Alabama,Montgomery,2
Colorado,Aurora,2
Florida,Miami,2
Florida,Saint Petersburg,2
Georgia,Augusta,2
Indiana,East Chicago,2
Indiana,Indianapolis,2
Louisiana,New Orleans,2
Louisiana,Shreveport,2
Maryland,Baltimore,2
Minnesota,Minneapolis,2
Mississippi,Canton,2
Mississippi,Saucier,2
Missouri,Saint Louis,2
Missouri,Saint Louis (Berkeley),2
Nevada,Las Vegas,2
Ohio,Lima,2
South Carolina,Columbia,2
South Carolina,Scranton,2
South Carolina,Walterboro,2
Texas,Arlington,2
Texas,El Paso,2
Texas,Lubbock,2
Alabama,Athens,1
Alabama,Birmingham (Homewood),1
Alabama,Greensboro,1
Alabama,Monroeville,1
Alabama,Opp,1
Alabama,Orrville,1
Alabama,Pinson,1
Alabama,Tuskegee,1
Arkansas,Beebe,1
Arkansas,Helena,1
Arkansas,Hot Springs National Park (Hot Springs),1
Arkansas,Lamar,1
Arkansas,Lutherville,1
California,Compton,1
California,San Francisco,1
Colorado,Commerce City,1
Colorado,Grand Junction (Fruitvale),1
Connecticut,Hartford,1
Connecticut,New Haven,1
Florida,Clewiston,1
Florida,Cocoa,1
Florida,Daytona Beach,1
Florida,Fort Lauderdale,1
Florida,Fort Lauderdale (Lauderhill),1
Florida,Fountain,1
Florida,Jacksonville,1
Florida,Marianna,1
Florida,Palm Coast,1
Florida,Pensacola,1
Florida,Tampa,1
Georgia,Columbus,1
Georgia,Conley,1
Georgia,Decatur,1
Georgia,Griffin,1
Georgia,Guyton,1
Georgia,Harlem,1
Georgia,Jasper (county),1
Georgia,Nashville,1
Georgia,Waycross,1
Hawaii,Hawi,1
Idaho,Castleford,1
Idaho,Montpelier,1
Idaho,Peck,1
Illinois,Belleville,1
Illinois,Decatur,1
Illinois,Matteson,1
Indiana,Bloomington,1
Indiana,Evansville,1
Indiana,Fort Wayne,1
Indiana,Hammond,1
Indiana,Hobart,1
Indiana,Mishawaka,1
Indiana,Salem,1
Indiana,South Bend,1
Iowa,Coralville,1
Iowa,Garner,1
Iowa,Oskaloosa,1
Kansas,Junction City,1
Kansas,Kansas City,1
Kansas,Lawrence,1
Kentucky,Redfox,1
Kentucky,Shelbyville,1
Louisiana,Baton Rouge,1
Louisiana,Carencro,1
Louisiana,Chalmette,1
Louisiana,Jeanerette,1
Louisiana,Lake Providence,1
Louisiana,Marrero,1
Louisiana,Saint Rose,1
Maryland,Columbia,1
Michigan,Algonac (Clay Township),1
Michigan,Canton,1
