"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3465509,"May 9, 2026",Louisiana,Alexandria,"3000 block of Houston St",1,0,0,0,0,N/A
3458696,"April 29, 2026",Wisconsin,Milwaukee,"3400 block of W Walnut St",1,0,0,0,0,N/A
3455384,"April 23, 2026",Texas,Dallas,"1700 block of Hemphill Dr",1,0,0,0,1,N/A
3453891,"April 21, 2026",Georgia,Augusta,"1237 Gordon Hwy",1,0,0,0,0,N/A
3453798,"April 20, 2026",Mississippi,Hattiesburg,"212 Martin Luther King Ave",1,0,0,0,0,N/A
3447075,"April 10, 2026",Wisconsin,Lamartine,"6281 Schraven Cir",1,0,0,0,0,N/A
3445277,"April 6, 2026",Virginia,Elliston,"100 block of Walthall St",1,0,0,0,0,N/A
3443929,"April 5, 2026",Florida,Bonifay,"Twin Lakes Dr",1,0,0,0,0,N/A
3441284,"March 31, 2026",Florida,Okeechobee,"800 block of SE 8th St",1,0,0,0,0,N/A
3438857,"March 28, 2026",Tennessee,Nashville,"3100 block of Qualynn Dr",1,0,0,0,0,N/A
3439951,"March 28, 2026",Kansas,Brookville,"KS-141 and Ave N",2,0,0,0,0,N/A
3437110,"March 25, 2026",Georgia,Ellenwood,"4194 Loveless Dr",1,0,0,0,0,N/A
3434651,"March 22, 2026",Oklahoma,"Oklahoma City","2424 NW 39th St",1,0,0,0,1,N/A
3438829,"March 22, 2026","South Dakota",Owanka,N/A,1,0,0,0,0,N/A
3427975,"March 10, 2026",Louisiana,"Baton Rouge","1000 Government St",1,0,0,0,0,N/A
3428246,"March 10, 2026",Virginia,Petersburg,"2300 block of Navajo Ct",1,0,0,0,1,N/A
3425421,"March 6, 2026",Tennessee,Memphis,"7041 E Shelby Dr",1,0,0,0,0,N/A
3422533,"March 2, 2026",Michigan,Detroit,"9731 Harper Ave",1,0,0,0,0,N/A
3420705,"February 25, 2026",Alabama,Greenville,N/A,1,0,0,0,0,N/A
3415389,"February 18, 2026",Georgia,Atlanta,"501 N River Pkwy",1,0,0,0,0,N/A
3414875,"February 17, 2026",Tennessee,Clairfield,"6000 block of TN-90",1,0,0,0,0,N/A
3414593,"February 17, 2026",Maryland,"Montgomery Village","10100 block of Maple Leaf Dr",1,0,0,0,0,N/A
3408730,"February 7, 2026",Indiana,Mishawaka,"300 block of S Taylor St",1,0,0,0,1,N/A
3408103,"February 6, 2026",Missouri,"Florissant (Black Jack)","12400 block of Jerries Ln",1,0,0,0,0,N/A
3399073,"January 21, 2026",Michigan,Lansing,"601 Sadie Ct",1,0,0,0,0,N/A
3398548,"January 18, 2026",Missouri,Moberly,N/A,1,0,0,0,0,N/A
3392841,"January 10, 2026",Pennsylvania,Pittsburgh,"900 block of Kirkbride St",1,0,0,0,0,N/A
3393190,"January 10, 2026",Louisiana,Lafayette,"100 block of Lena St",1,0,0,0,0,N/A
3391209,"January 7, 2026",Alabama,Hayden,"24 Orchard Cir",1,0,0,0,0,N/A
3381363,"December 22, 2025",Ohio,Columbus,"1500 block of E Long St",1,0,0,0,0,N/A
3378654,"December 14, 2025",Tennessee,Knoxville,"Vada Cir",1,0,0,0,0,N/A
3372985,"December 9, 2025",Wisconsin,Milwaukee,"N Vel R Phillips Ave and W Clarke St",1,0,0,0,0,N/A
3369783,"December 5, 2025",Ohio,Columbus,"200 block of S Wheatland Ave",1,0,0,0,1,N/A
