"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3457015,"April 25, 2026",Ohio,Columbus,"1036 Oakwood Ave",1,0,0,0,1,N/A
3456646,"April 24, 2026",Wisconsin,Milwaukee,"W Chambers St and Dr William Finlayson St",1,0,0,0,0,N/A
3456700,"April 24, 2026",Kentucky,Covington,"100 block of E 11th St",1,0,0,0,1,N/A
3453928,"April 20, 2026",Indiana,Shelbyville,"400 block of W Washington St",1,0,0,0,2,N/A
3453587,"April 19, 2026",Tennessee,Huntsville,"100 block of Byrgess Creek Rd",1,0,0,0,0,N/A
3453324,"April 19, 2026",Indiana,Salem,"E Oak Dr",1,0,0,0,1,N/A
3451213,"April 16, 2026","South Carolina",Summerville,"800 block of S Magnolia St",1,0,0,0,1,N/A
3447495,"April 11, 2026",Georgia,Atlanta,"1890 Lathrop St SE",1,0,0,0,1,N/A
3448157,"April 11, 2026",Montana,Missoula,"4900 block of Alex Ln",1,0,0,0,1,N/A
3443673,"April 5, 2026",Texas,"Fort Worth","6629 S Hulen St",1,0,0,0,1,N/A
3440503,"March 30, 2026","New Mexico","Las Cruces","2900 block of Petunia Ln",1,0,0,0,1,N/A
3440005,"March 29, 2026","West Virginia","Bruceton Mills",N/A,1,0,0,0,0,N/A
3437805,"March 25, 2026","North Carolina",Wilson,"1300 block of Woodside Dr W",1,0,0,0,1,N/A
3437296,"March 25, 2026",Georgia,Lagrange,"64 N Cary St",1,0,0,0,1,N/A
3435650,"March 23, 2026","New York",Brooklyn,"2957 Ave X",1,0,0,0,1,N/A
3432869,"March 18, 2026",Louisiana,"Baton Rouge","3800 block of Ozark St",1,0,0,0,1,N/A
3428924,"March 12, 2026","North Carolina",Lumberton,"600 Warwick Mill Rd",1,0,0,0,0,N/A
3422085,"February 27, 2026",Illinois,Belleville,"2765 Brookmeadow Dr",1,0,0,0,0,N/A
3419237,"February 24, 2026",Louisiana,Hammond,"Center Ave",1,0,0,0,1,N/A
3417291,"February 20, 2026",Texas,Arlington,"4600 block of Sausalito Dr",1,0,0,0,1,N/A
3415810,"February 12, 2026",Arkansas,"Cave City","Rainey Ln",1,0,0,0,1,N/A
3408730,"February 7, 2026",Indiana,Mishawaka,"300 block of S Taylor St",1,0,0,0,1,N/A
3407889,"February 5, 2026",Ohio,Somerset,"W Main St",1,0,0,0,1,N/A
3407571,"February 5, 2026",Georgia,Lilburn,"4350 Stone Mountain Hwy",1,0,0,0,1,N/A
3404782,"February 1, 2026",Texas,Humble,"9310 N Sam Houston Pwy E",1,0,0,0,0,N/A
3405251,"January 30, 2026",Texas,Brownsville,"1300 block of S Indiana Ave",1,0,0,0,1,N/A
3403825,"January 29, 2026",Missouri,Charleston,"400 block of W Cypress St",1,0,0,0,1,N/A
3402750,"January 28, 2026",Kentucky,Louisville,"1800 block of Greenwood Ave",1,0,0,0,0,N/A
3401016,"January 23, 2026",Ohio,Northwood,"3700 block of Lakepointe Dr",1,0,0,0,1,N/A
3401929,"January 23, 2026",Mississippi,"Lincoln County (county)",N/A,1,0,0,0,0,N/A
3395802,"January 14, 2026",Georgia,Atlanta,"565 Greensferry Ave SW",1,0,0,0,1,N/A
3393105,"January 11, 2026",Kentucky,Elizabethtown,"100 Lowe's Dr",1,0,0,0,1,N/A
3396734,"January 8, 2026",Georgia,Norcross,"6000 block of Green Hill Dr",1,0,0,0,0,N/A
3392627,"January 8, 2026",Louisiana,"Baton Rouge","3800 block of Ozark St",1,0,0,0,1,N/A
3388097,"January 2, 2026",Kentucky,Crofton,"1400 block of Grapevine Rd",1,0,0,0,0,N/A
3387349,"January 1, 2026",Mississippi,"Moss Point","River Pine Dr",1,0,0,0,2,N/A
3387678,"January 1, 2026",Alabama,Tuscaloosa,"2401 DuPont Ave",1,0,0,0,0,N/A
3385915,"December 30, 2025",Florida,"Jackson County (county)",FL-73,1,0,0,0,0,N/A
3385824,"December 29, 2025","New Mexico",Clovis,"2200 block of Chapparal Dr",1,0,0,0,1,N/A
3384897,"December 28, 2025",Indiana,Anderson,"2600 block of W 38th St",1,0,0,0,1,N/A
3383271,"December 25, 2025",Florida,Orlando,"2200 block of Okada Ct",1,0,0,0,1,N/A
3381085,"December 20, 2025","North Carolina",Lexington,N/A,1,0,0,0,0,N/A
3369783,"December 5, 2025",Ohio,Columbus,"200 block of S Wheatland Ave",1,0,0,0,1,N/A
